concurrentHashMap,put,0.12
concurrentHashMap,get,0.05
concurrentHashMap,remove,0.14
hashtable,put,0.07
hashtable,get,0.06
hashtable,remove,0.09
synchronizedMap,put,0.08
synchronizedMap,get,0.03
synchronizedMap,remove,0.3
concurrentSkipListMap,put,0.08
concurrentSkipListMap,get,0.04
concurrentSkipListMap,remove,0.3
vector,add,0.22
vector,iterator,1.85
vector,get,0.21
vector,remove,2006.04
syncList,add,0.26
syncList,iterator,0.1
syncList,get,0.17
syncList,remove,1918.13
copyOnWriteArrayList,add,3561.97
copyOnWriteArrayList,iterator,0.11
copyOnWriteArrayList,get,0.07
copyOnWriteArrayList,remove,6308.37
