concurrentHashMap,put,6.2608133952
concurrentHashMap,get,3.6364796956
concurrentHashMap,remove,18.4581756592
hashtable,put,37.2838134766
hashtable,get,10.9206136068
hashtable,remove,51.1502838135
synchronizedMap,put,32.5637613932
synchronizedMap,get,8.6837259928
synchronizedMap,remove,45.1593475342
concurrentSkipListMap,put,9.8978729248
concurrentSkipListMap,get,9.6217091878
concurrentSkipListMap,remove,31.4188690186
vector,add,8.2517801921
vector,iterator,6.2343648275
vector,get,7.1960449219
vector,remove,6438.6538543701
syncList,add,8.5634206136
syncList,iterator,0.3669637044
syncList,get,5.6749725342
syncList,remove,6515.0187530518
copyOnWriteArrayList,add,22197.2265268962
copyOnWriteArrayList,iterator,0.6686401367
copyOnWriteArrayList,get,0.5562489827
copyOnWriteArrayList,remove,26521.4389038086
syncSet,add,40.0473073324
syncSet,get,4.0972137451
syncSet,remove,44.0955810547
skipListSet,add,7.3482971191
skipListSet,get,62.6543375651
skipListSet,remove,41.2376708984
concurrentHashSet,add,7.2968444824
concurrentHashSet,get,91.4989725749
concurrentHashSet,remove,16.0084075928
CopyOnWriteArraySet,add,49194.4130706787
CopyOnWriteArraySet,get,17.0856882731
CopyOnWriteArraySet,remove,29841.8971252441
